utility,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0.504633705,1,5,10,9,3,10,2,9,10,10
0.608654803,9,5,2,4,8,7,1,7,6,5
0.279611449,4,10,9,4,1,7,10,1,5,0
0.314796084,5,8,6,1,5,2,8,0,7,3
0.495853032,2,7,0,5,7,10,7,3,4,10
0.384122669,7,1,0,7,9,2,6,7,6,4
0.328892875,4,10,4,3,3,1,6,6,0,9
0.099946819,7,1,0,9,7,6,1,4,0,0
0.350304914,7,8,7,2,0,7,5,4,8,0
0.515042087,7,3,9,9,4,3,0,9,4,3
0.64378192,4,10,10,5,2,5,6,10,10,6
0.560186207,5,5,1,10,7,8,2,8,8,6
0.171425673,4,0,10,1,9,10,8,5,0,1
0.091053562,8,5,8,9,0,0,4,0,0,3
0.287993679,9,0,1,7,3,3,4,2,9,6
0.542583879,2,2,1,6,8,8,4,3,3,5
0.397269931,6,3,1,2,6,0,5,7,8,7
0.487845838,3,10,8,10,2,2,6,3,8,5
0.817040183,9,10,9,4,10,5,10,5,10,5
0.564822518,10,10,6,5,4,10,3,6,1,8
0.511169967,7,9,1,9,9,6,1,4,7,2
0.427187912,2,8,10,9,8,1,8,4,2,2
0.23658958,0,1,8,6,9,1,2,2,8,10
0.339640822,1,6,0,2,10,4,5,7,5,8
0.432105696,4,7,2,0,3,4,5,7,8,3
0.250767418,8,5,2,1,3,6,10,4,0,1
0.313484268,7,0,1,10,3,7,7,1,6,8
0.437068254,8,7,10,2,6,10,2,7,0,4
0.771441311,10,4,8,10,3,8,5,4,8,4
0.485403696,4,7,9,0,6,6,2,7,5,4
0.265742615,8,7,9,2,0,0,5,6,10,4
0.736564375,3,1,7,7,6,8,8,7,6,10
0.215955066,1,0,1,7,6,1,9,2,2,9
0.271288573,9,5,10,7,0,7,1,5,1,2
0.674144016,4,10,1,4,7,5,5,5,7,4
0.417646549,4,1,8,1,9,3,9,6,3,6
0.575563227,9,6,8,6,4,7,3,1,2,4
0.940205766,6,7,8,5,8,5,10,4,5,8
0.415189619,6,5,4,9,10,2,2,0,5,9
0.436686081,3,5,5,7,8,5,1,9,0,6
0.5582941,0,6,10,10,9,3,6,3,8,9
0.270495076,9,8,10,3,2,8,0,3,0,5
